model,roc_auc,accuracy,f1,precision,recall
logistic_regression,0.7284385214986171,0.7536231884057971,0.5952380952380952,0.5813953488372093,0.6097560975609756
xgboost,0.712974603972844,0.7318840579710145,0.5066666666666667,0.5588235294117647,0.4634146341463415
