platform,kind,sample_count,avg_text_len,avg_sentiment,median_sentiment
bili,comments,5011,31.022949511075634,0.479127455577029,0.4658251486391124
bili,contents,135,55.385185185185186,0.6869505544867422,0.8213425629701684
douyin,comments,1323,16.448979591836736,0.4717667317029816,0.5
douyin,contents,30,203.33333333333334,0.8434155956144728,0.9999922825117988
tieba,comments,207,139.38647342995168,0.6475514160291242,0.7687122020921763
tieba,contents,30,119.13333333333334,0.713082435984974,0.9919807553045432
weibo,comments,269,15.680297397769516,0.6027076371335905,0.5690965842171525
weibo,contents,58,144.22413793103448,0.7596016143614104,0.996391272230035
xhs,comments,3365,16.575334323922736,0.5609419596012427,0.5594664351540988
xhs,contents,243,559.238683127572,0.8474336949544792,0.999999999382136
zhihu,comments,1334,40.35232383808096,0.5416395040362556,0.5770558501158258
zhihu,contents,54,745.1296296296297,0.8494698685909753,0.999999937756023
