lval,rval,Estimate,p-value
PWI,CWI,0.9818390904279813,0.0
CWI,MTPC,0.2506607814341992,1.0875615963357177e-09
CWI,MTP,-4.688309485421272e-06,0.9999999999119147
PWI,MGD,-0.006534279636981462,0.4636281140610501
MGD,MTPC,-0.08038571372045686,0.03804339776427801
CWI,MTE,-0.086697460322117,0.4655545344429657
CWI,CF,-0.09251981322405778,0.027267083966881378
MGD,MTE,-0.21486366903807236,0.054666281015892215
MGD,CF,-0.3893664283776391,0.0
